Hour,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12
1,977,993,1000,1010,1005,1006,997,987,989,989,993,992,978,985,990,1006,1005,1007,989,985,987,989,982,984,967,975,985,996,1006,1010,995,990,994,991,994,982,982,987,988,996,995,986,974,969,977,980,979,980,969,980,989,997,992,990,982,1008,978,982,981,974,973,979,994,998,993,982,981,989,965,973,978,976,967,991,970,979,978,963,964,964,953,965,965,964,961,964,972,976,974,955,960,954,957,960,954,964,957,968,968,974,965,962,945,979,939,952,958,957
2,849,860,865,870,861,861,847,841,841,850,857,859,847,848,852,865,856,856,840,831,838,847,843,846,834,836,846,859,858,856,834,830,840,857,857,850,848,852,855,861,853,840,823,822,833,847,846,851,840,847,855,861,851,844,826,857,835,848,847,850,846,852,865,872,858,838,834,839,830,844,852,854,848,865,850,856,851,839,833,833,829,846,849,850,843,844,850,852,844,825,822,819,826,836,835,845,840,847,846,850,834,828,806,836,813,829,840,842
3,786,795,803,802,790,783,765,759,765,782,795,795,786,786,795,799,785,779,762,750,765,780,778,787,780,777,786,795,787,777,753,744,763,790,792,784,782,786,796,798,784,766,746,745,765,785,785,788,780,787,800,801,787,775,750,775,769,790,791,794,789,792,808,816,793,769,760,761,766,786,797,798,791,804,797,798,791,774,764,763,766,789,794,795,785,786,796,793,782,760,749,745,762,777,776,787,784,788,791,789,772,760,732,756,748,768,783,785
4,765,774,786,778,762,751,726,721,734,757,777,772,760,760,772,776,757,748,726,710,737,753,758,764,758,753,770,774,759,747,715,701,729,766,777,768,768,771,784,779,756,735,710,708,734,764,765,772,762,770,784,777,760,744,715,732,741,767,772,775,770,774,791,793,766,738,723,719,739,761,777,779,771,782,780,777,765,743,729,727,737,765,775,776,765,766,779,771,756,729,713,706,733,752,754,765,763,767,772,766,745,728,694,711,719,742,762,764
5,769,777,791,778,761,742,711,709,729,758,776,766,754,752,770,775,756,740,716,698,732,751,757,760,753,747,770,774,758,744,701,684,722,765,778,766,762,767,783,777,754,728,698,695,728,765,763,770,758,766,783,776,757,739,702,715,741,765,772,774,767,770,791,791,767,732,710,701,737,762,778,777,771,779,782,779,762,737,717,716,733,765,776,776,765,766,782,769,754,721,700,691,730,752,755,765,762,766,776,767,743,721,679,690,716,741,765,764
6,779,789,807,796,780,759,709,706,743,783,794,782,766,766,792,797,778,757,724,700,755,777,778,774,770,761,790,800,784,769,708,682,738,791,797,784,778,779,805,801,780,752,712,703,753,795,789,790,776,784,807,802,787,766,715,714,768,796,800,798,786,790,819,821,800,764,728,706,767,797,810,803,791,795,808,806,791,771,737,731,760,796,803,800,785,789,810,795,787,751,719,701,760,782,783,790,786,790,805,798,776,752,695,691,746,775,796,790
7,854,872,943,941,930,908,824,803,877,911,913,889,851,864,939,953,937,912,858,808,902,912,900,886,862,862,944,963,952,921,842,785,882,935,931,902,874,885,966,970,948,915,849,821,909,945,926,911,873,886,960,961,957,927,854,821,934,946,934,918,885,897,980,988,967,926,863,809,927,948,945,932,887,897,953,962,945,916,865,848,896,930,926,912,884,895,951,944,941,894,842,803,903,916,906,903,885,893,946,949,928,895,811,775,881,908,920,904
8,991,1032,1150,1127,1116,1107,1002,955,1084,1119,1123,1082,989,1026,1143,1134,1123,1105,1037,960,1109,1119,1106,1076,999,1023,1142,1144,1140,1102,1014,932,1083,1133,1139,1089,1007,1048,1159,1157,1142,1114,1029,976,1115,1154,1142,1104,1009,1043,1163,1144,1146,1118,1036,974,1149,1152,1142,1110,1026,1064,1183,1171,1153,1116,1039,953,1139,1158,1153,1130,1016,1049,1139,1133,1113,1081,1026,997,1079,1119,1108,1083,1018,1054,1138,1120,1113,1069,1005,944,1094,1115,1096,1083,1020,1045,1136,1130,1109,1074,967,904,1075,1108,1109,1083
9,1041,1054,1074,1067,1073,1070,1016,995,1058,1069,1069,1066,1042,1058,1074,1069,1074,1066,1042,998,1064,1059,1062,1062,1042,1055,1065,1069,1084,1061,1021,970,1050,1067,1075,1072,1048,1069,1070,1081,1084,1070,1032,1008,1070,1075,1081,1075,1054,1061,1085,1082,1086,1072,1031,993,1089,1078,1076,1075,1062,1075,1090,1084,1088,1074,1035,971,1082,1081,1080,1083,1056,1060,1070,1069,1067,1057,1028,1019,1065,1082,1077,1078,1058,1066,1084,1072,1080,1054,1024,980,1074,1081,1078,1088,1061,1068,1085,1084,1083,1064,989,944,1061,1079,1082,1086
10,1025,1018,978,982,991,994,980,1001,990,979,963,980,1025,1013,981,978,987,986,999,997,979,965,969,982,1023,1022,978,975,989,978,982,978,980,965,964,986,1021,1019,974,978,984,988,990,1002,987,967,966,983,1030,1016,983,988,987,989,977,978,987,973,957,983,1025,1017,982,974,987,990,983,955,988,973,965,980,1030,1009,981,976,987,991,986,999,989,979,970,993,1026,1001,982,967,985,984,982,970,986,975,967,992,1026,1017,981,976,987,985,949,940,974,971,970,990
